ec	n_uniprot_xrefs	description
2.6.1.84	1	arginine--pyruvate transaminase.
2.6.1.85	20	aminodeoxychorismate synthase.
2.6.1.86	1	2-amino-4-deoxychorismate synthase.
2.6.1.87	71	UDP-4-amino-4-deoxy-L-arabinose aminotransferase.
2.6.1.88	4	methionine transaminase.
2.6.1.89	0	dTDP-3-amino-3,6-dideoxy-alpha-D-glucopyranose transaminase.
2.6.1.90	1	dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose transaminase.
2.6.1.92	5	UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine transaminase.
2.6.1.93	3	neamine transaminase.
2.6.1.94	1	2'-deamino-2'-hydroxyneamine transaminase.
2.6.1.95	1	neomycin C transaminase.
2.6.1.96	11	4-aminobutyrate--pyruvate transaminase.
2.6.1.97	2	archaeosine synthase.
2.6.1.98	1	UDP-2-acetamido-2-deoxy-ribo-hexuluronate aminotransferase.
2.6.1.99	3	L-tryptophan--pyruvate aminotransferase.
2.6.1.100	8	L-glutamine:2-deoxy-scyllo-inosose aminotransferase.
2.6.1.101	11	L-glutamine:3-amino-2,3-dideoxy-scyllo-inosose aminotransferase.
2.6.1.102	3	GDP-perosamine synthase.
2.6.1.103	1	(S)-3,5-dihydroxyphenylglycine transaminase.
2.6.1.104	1	3-dehydro-glucose-6-phosphate--glutamate transaminase.
2.6.1.105	1	lysine--8-amino-7-oxononanoate transaminase.
2.6.1.106	2	dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose transaminase.
2.6.1.107	1	beta-methylphenylalanine transaminase.
2.6.1.108	1	(5-formylfuran-3-yl)methyl phosphate transaminase.
2.6.1.109	1	8-amino-3,8-dideoxy-alpha-D-manno-octulosonate transaminase.
2.6.1.110	1	dTDP-4-dehydro-2,3,6-trideoxy-D-glucose 4-aminotransferase.
2.6.1.111	1	3-aminobutanoyl-CoA transaminase.
2.6.1.112	1	(S)-ureidoglycine--glyoxylate transaminase.
2.6.1.113	1	putrescine--pyruvate transaminase.
2.6.1.114	1	8-demethyl-8-aminoriboflavin-5'-phosphate synthase.
2.6.1.115	0	5-hydroxydodecatetraenal 1-aminotransferase.
2.6.1.116	0	6-aminohexanoate aminotransferase.
2.6.1.117	1	L-glutamine--4-(methylsulfanyl)-2-oxobutanoate aminotransferase.
2.6.1.118	12	[amino group carrier protein]-gamma-(L-lysyl)-L-glutamateaminotransferase.
2.6.1.119	3	vanillin aminotransferase.
2.6.1.120	0	beta-alanine--2-oxoglutarate transaminase.
2.6.1.121	2	8-amino-7-oxononanoate carboxylating dehydrogenase.
2.6.1.122	1	UDP-N-acetyl-3-dehydro-alpha-D-glucosamine 3-aminotranferase.
2.6.1.123	0	4-amino-4-deoxychorismate synthase (2-amino-4-deoxychorismate-forming).
2.6.1.124	9	[amino-group carrier protein]-gamma-(L-ornithyl)-L-glutamateaminotransferase.
2.6.1.125	1	L-arginine:2-oxoglutarate transaminase.
2.6.1.126	2	L-aspartate:5-guanidino-3-methyl-2-oxopentanoate transaminase.
2.6.1.127	1	spermidine--8-amino-7-oxononanoate transaminase.
2.6.3.1	0	oximinotransferase.
2.6.99.1	0	dATP(dGTP)--DNA purinetransferase.
2.6.99.2	259	pyridoxine 5'-phosphate synthase.
2.6.99.3	1	O-ureido-L-serine synthase.
2.7.1.1	58	hexokinase.
2.7.1.2	157	glucokinase.
2.7.1.3	5	ketohexokinase.
2.7.1.4	31	fructokinase.
2.7.1.5	65	rhamnulokinase.
2.7.1.6	146	galactokinase.
2.7.1.7	1	mannokinase.
2.7.1.8	3	glucosamine kinase.
2.7.1.10	0	phosphoglucokinase.
2.7.1.11	336	6-phosphofructokinase.
2.7.1.12	13	gluconokinase.
2.7.1.13	0	dehydrogluconokinase.
2.7.1.14	2	sedoheptulokinase.
2.7.1.15	18	ribokinase.
2.7.1.16	77	ribulokinase.
2.7.1.17	34	xylulokinase.
2.7.1.18	0	phosphoribokinase.
2.7.1.19	20	phosphoribulokinase.
2.7.1.20	17	adenosine kinase.
2.7.1.21	256	thymidine kinase.
2.7.1.22	12	ribosylnicotinamide kinase.
2.7.1.23	540	NAD(+) kinase.
2.7.1.24	271	dephospho-CoA kinase.
2.7.1.25	155	adenylyl-sulfate kinase.
2.7.1.26	42	riboflavin kinase.
2.7.1.27	0	erythritol kinase (D-erythritol 4-phosphate-forming).
2.7.1.28	12	triokinase.
2.7.1.29	13	glycerone kinase.
2.7.1.30	443	glycerol kinase.
2.7.1.31	15	glycerate 3-kinase.
2.7.1.32	15	choline kinase.
2.7.1.33	640	pantothenate kinase.
2.7.1.34	0	pantetheine kinase.
2.7.1.35	118	pyridoxal kinase.
2.7.1.36	23	mevalonate kinase.
2.7.1.39	440	homoserine kinase.
2.7.1.40	111	pyruvate kinase.
2.7.1.41	0	glucose-1-phosphate phosphodismutase.
2.7.1.42	0	riboflavin phosphotransferase.
2.7.1.43	2	glucuronokinase.
2.7.1.44	1	galacturonokinase.
2.7.1.45	10	2-dehydro-3-deoxygluconokinase.
2.7.1.46	1	L-arabinokinase.
2.7.1.47	5	D-ribulokinase.
2.7.1.48	236	uridine/cytidine kinase.
2.7.1.49	33	hydroxymethylpyrimidine kinase.
2.7.1.50	320	hydroxyethylthiazole kinase.
2.7.1.51	5	L-fuculokinase.
2.7.1.52	4	fucokinase.
2.7.1.53	3	L-xylulokinase.
2.7.1.54	0	D-arabinokinase.
2.7.1.55	1	allose kinase.
2.7.1.56	13	1-phosphofructokinase.
2.7.1.58	3	2-dehydro-3-deoxygalactonokinase.
2.7.1.59	78	N-acetylglucosamine kinase.
2.7.1.60	66	N-acylmannosamine kinase.
2.7.1.61	0	acyl-phosphate--hexose phosphotransferase.
2.7.1.62	0	phosphoramidate--hexose phosphotransferase.
2.7.1.63	4	polyphosphate--glucose phosphotransferase.
2.7.1.64	3	inositol 3-kinase.
2.7.1.65	0	scyllo-inosamine 4-kinase.
2.7.1.66	2	undecaprenol kinase.
2.7.1.67	54	1-phosphatidylinositol 4-kinase.
2.7.1.68	26	1-phosphatidylinositol-4-phosphate 5-kinase.
2.7.1.71	525	shikimate kinase.
2.7.1.72	2	streptomycin 6-kinase.
2.7.1.73	6	inosine kinase.
2.7.1.74	14	deoxycytidine kinase.
2.7.1.76	14	deoxyadenosine kinase.
2.7.1.77	9	nucleoside phosphotransferase.
2.7.1.78	24	polynucleotide 5'-hydroxyl-kinase.
2.7.1.79	0	diphosphate--glycerol phosphotransferase.
2.7.1.80	0	diphosphate--serine phosphotransferase.
2.7.1.81	5	hydroxylysine kinase.
2.7.1.82	18	ethanolamine kinase.
2.7.1.83	3	pseudouridine kinase.
2.7.1.84	0	alkylglycerone kinase.
2.7.1.85	3	beta-glucoside kinase.
2.7.1.86	6	NADH kinase.
2.7.1.87	2	streptomycin 3''-kinase.
2.7.1.88	0	dihydrostreptomycin-6-phosphate 3'alpha-kinase.
2.7.1.89	36	thiamine kinase.
2.7.1.90	28	diphosphate--fructose-6-phosphate 1-phosphotransferase.
2.7.1.91	13	sphingosine kinase.
2.7.1.92	31	5-dehydro-2-deoxygluconokinase.
2.7.1.93	11	alkylglycerol kinase.
2.7.1.94	5	acylglycerol kinase.
2.7.1.95	12	kanamycin kinase.
2.7.1.100	46	S-methyl-5-thioribose kinase.
2.7.1.101	1	tagatose kinase.
2.7.1.102	0	hamamelose kinase.
2.7.1.103	1	viomycin kinase.
2.7.1.105	27	6-phosphofructo-2-kinase.
2.7.1.106	3	glucose-1,6-bisphosphate synthase.
2.7.1.107	87	diacylglycerol kinase (ATP).
2.7.1.108	6	dolichol kinase.
2.7.1.113	15	deoxyguanosine kinase.
2.7.1.114	0	AMP--thymidine kinase.
2.7.1.118	0	ADP--thymidine kinase.
2.7.1.119	1	hygromycin-B 7''-O-kinase.
2.7.1.121	15	phosphoenolpyruvate--glycerone phosphotransferase.
2.7.1.122	0	xylitol kinase.
2.7.1.127	11	inositol-trisphosphate 3-kinase.
2.7.1.130	376	tetraacyldisaccharide 4'-kinase.
2.7.1.134	27	inositol-tetrakisphosphate 1-kinase.
2.7.1.136	0	macrolide 2'-kinase.
2.7.1.137	38	phosphatidylinositol 3-kinase.
2.7.1.138	10	ceramide kinase.
2.7.1.140	7	inositol-tetrakisphosphate 5-kinase.
2.7.1.142	0	glycerol-3-phosphate--glucose phosphotransferase.
2.7.1.143	0	diphosphate-purine nucleoside kinase.
2.7.1.144	54	tagatose-6-phosphate kinase.
2.7.1.145	1	deoxynucleoside kinase.
2.7.1.146	8	ADP-specific phosphofructokinase.
2.7.1.147	11	ADP-specific glucose/glucosamine kinase.
2.7.1.148	587	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase.
2.7.1.149	16	1-phosphatidylinositol-5-phosphate 4-kinase.
2.7.1.150	10	1-phosphatidylinositol-3-phosphate 5-kinase.
2.7.1.151	9	inositol-polyphosphate multikinase.
2.7.1.153	18	phosphatidylinositol-4,5-bisphosphate 3-kinase.
2.7.1.154	10	phosphatidylinositol-4-phosphate 3-kinase.
2.7.1.156	5	adenosylcobinamide kinase.
2.7.1.157	4	N-acetylgalactosamine kinase.
2.7.1.158	19	inositol-pentakisphosphate 2-kinase.
2.7.1.159	28	inositol-1,3,4-trisphosphate 5/6-kinase.
2.7.1.160	6	2'-phosphotransferase.
2.7.1.161	47	CTP-dependent riboflavin kinase.
2.7.1.162	1	N-acetylhexosamine 1-kinase.
2.7.1.163	1	hygromycin B 4-O-kinase.
2.7.1.164	5	O-phosphoseryl-tRNA(Sec) kinase.
2.7.1.165	5	glycerate 2-kinase.
2.7.1.166	27	3-deoxy-D-manno-octulosonic acid kinase.
2.7.1.167	200	D-glycero-beta-D-manno-heptose-7-phosphate kinase.
2.7.1.168	3	D-glycero-alpha-D-manno-heptose-7-phosphate kinase.
2.7.1.169	3	pantoate kinase.
2.7.1.170	261	anhydro-N-acetylmuramic acid kinase.
2.7.1.171	2	protein-fructosamine 3-kinase.
2.7.1.172	7	protein-ribulosamine 3-kinase.
2.7.1.173	8	nicotinate riboside kinase.
2.7.1.174	3	diacylglycerol kinase (CTP).
2.7.1.175	20	maltokinase.
2.7.1.176	5	UDP-N-acetylglucosamine kinase.
2.7.1.177	2	L-threonine kinase.
2.7.1.178	2	2-dehydro-3-deoxyglucono/galactono-kinase.
2.7.1.179	1	kanosamine kinase.
2.7.1.180	14	FAD:protein FMN transferase.
2.7.1.181	2	polymannosyl GlcNAc-diphospho-ditrans,octacis-undecaprenol kinase.
2.7.1.182	9	phytol kinase.
2.7.1.183	7	glycoprotein-mannosyl O(6)-kinase.
2.7.1.184	2	sulfofructose kinase.
2.7.1.185	2	mevalonate 3-kinase.
2.7.1.186	1	mevalonate-3-phosphate 5-kinase.
2.7.1.187	1	acarbose 7(IV)-phosphotransferase.
2.7.1.188	1	2-epi-5-epi-valiolone 7-kinase.
2.7.1.189	25	autoinducer-2 kinase.
2.7.1.190	8	aminoglycoside 2''-phosphotransferase.
2.7.1.191	8	protein-N(pi)-phosphohistidine--D-mannose phosphotransferase.
2.7.1.192	14	protein-N(pi)-phosphohistidine--N-acetylmuramate phosphotransferase.
2.7.1.193	4	protein-N(pi)-phosphohistidine--N-acetyl-D-glucosaminephosphotransferase.
2.7.1.194	12	protein-N(pi)-phosphohistidine--L-ascorbate phosphotransferase.
2.7.1.195	1	protein-N(pi)-phosphohistidine--2-O-alpha-mannosyl-D-glyceratephosphotransferase.
2.7.1.196	3	protein-N(pi)-phosphohistidine--N,N'-diacetylchitobiosephosphotransferase.
2.7.1.197	27	protein-N(pi)-phosphohistidine--D-mannitol phosphotransferase.
2.7.1.198	3	protein-N(pi)-phosphohistidine--D-sorbitol phosphotransferase.
2.7.1.199	33	protein-N(pi)-phosphohistidine--D-glucose phosphotransferase.
2.7.1.200	4	protein-N(pi)-phosphohistidine--galactitol phosphotransferase.
2.7.1.201	2	protein-N(pi)-phosphohistidine--trehalose phosphotransferase.
2.7.1.202	25	protein-N(pi)-phosphohistidine--D-fructose phosphotransferase.
2.7.1.203	0	protein-N(pi)-phosphohistidine--D-glucosaminate phosphotransferase.
2.7.1.204	1	protein-N(pi)-phosphohistidine--D-galactose phosphotransferase.
2.7.1.205	4	protein-N(pi)-phosphohistidine--D-cellobiose phosphotransferase.
2.7.1.206	2	protein-N(pi)-phosphohistidine--L-sorbose phosphotransferase.
2.7.1.207	13	protein-N(pi)-phosphohistidine--lactose phosphotransferase.
2.7.1.208	2	protein-N(pi)-phosphohistidine--maltose phosphotransferase.
2.7.1.209	2	L-erythrulose 1-kinase.
2.7.1.210	1	D-erythrulose 4-kinase.
2.7.1.211	9	protein-N(pi)-phosphohistidine--sucrose phosphotransferase.
2.7.1.212	1	alpha-D-ribose-1-phosphate 5-kinase (ADP).
2.7.1.213	3	cytidine kinase.
2.7.1.214	2	C7-cyclitol 7-kinase.
2.7.1.215	1	erythritol kinase (D-erythritol 1-phosphate-forming).
2.7.1.216	1	farnesol kinase.
2.7.1.217	11	3-dehydrotetronate 4-kinase.
2.7.1.218	3	fructoselysine 6-kinase.
2.7.1.219	4	D-threonate 4-kinase.
2.7.1.220	1	D-erythronate 4-kinase.
2.7.1.221	4	N-acetylmuramate 1-kinase.
2.7.1.222	2	4-hydroxytryptamine kinase.
2.7.1.223	1	aminoimidazole riboside kinase.
2.7.1.224	1	cytidine diphosphoramidate kinase.
2.7.1.225	4	L-serine kinase (ATP).
2.7.1.226	1	L-serine kinase (ADP).
2.7.1.227	3	inositol phosphorylceramide synthase.
2.7.1.228	1	mannosyl-inositol-phosphoceramide inositolphosphotransferase.
2.7.1.229	5	deoxyribokinase.
2.7.1.230	1	amicoumacin kinase.
2.7.1.231	1	3-oxoisoapionate kinase.
2.7.1.232	1	levoglucosan kinase.
2.7.1.233	1	apulose kinase.
2.7.1.234	2	D-tagatose-1-phosphate kinase.
2.7.1.235	4	lipopolysaccharide core heptose(I) kinase.
2.7.1.236	1	NAD(+) 3'-kinase.
2.7.1.237	61	GTP-dependent dephospho-CoA kinase.
2.7.1.238	0	phenol phosphorylase.
2.7.1.239	1	alpha-D-ribose-1-phosphate 5-kinase (ATP).
2.7.2.1	353	acetate kinase.
2.7.2.2	48	carbamate kinase.
2.7.2.3	725	phosphoglycerate kinase.
2.7.2.4	54	aspartate kinase.
2.7.2.6	0	formate kinase.
2.7.2.7	48	butyrate kinase.
2.7.2.8	570	acetylglutamate kinase.
2.7.2.10	0	phosphoglycerate kinase (GTP).
2.7.2.11	454	glutamate 5-kinase.
2.7.2.12	0	acetate kinase (diphosphate).
2.7.2.14	0	branched-chain-fatty-acid kinase.
2.7.2.15	22	propionate kinase.
2.7.2.16	13	2-phosphoglycerate kinase.
2.7.2.17	25	[amino-group carrier protein]-L-2-aminoadipate 6-kinase.
2.7.2.18	0	fatty acid kinase.
2.7.2.19	23	[amino-group carrier protein]-L-glutamate 6-kinase.
2.7.3.1	1	guanidinoacetate kinase.
2.7.3.2	34	creatine kinase.
2.7.3.3	31	arginine kinase.
2.7.3.4	2	taurocyamine kinase.
2.7.3.5	2	lombricine kinase.
2.7.3.6	0	hypotaurocyamine kinase.
2.7.3.7	0	opheline kinase.
2.7.3.8	0	ammonia kinase.
2.7.3.9	51	phosphoenolpyruvate--protein phosphotransferase.
2.7.3.10	0	agmatine kinase.
2.7.3.13	1	glutamine kinase.
2.7.4.1	94	ATP-polyphosphate phosphotransferase.
2.7.4.2	13	phosphomevalonate kinase.
2.7.4.3	906	adenylate kinase.
2.7.4.4	16	nucleoside-phosphate kinase.
2.7.4.6	781	nucleoside-diphosphate kinase.
2.7.4.7	29	phosphooxymethylpyrimidine kinase.
2.7.4.8	339	guanylate kinase.
2.7.4.9	617	dTMP kinase.
2.7.4.10	9	nucleoside-triphosphate--adenylate kinase.
2.7.4.11	0	(deoxy)adenylate kinase.
2.7.4.12	0	T2-induced deoxynucleotide kinase.
2.7.4.13	2	(deoxy)nucleoside-phosphate kinase.
2.7.4.14	25	UMP/CMP kinase.
2.7.4.15	0	thiamine-diphosphate kinase.
2.7.4.16	27	thiamine-phosphate kinase.
2.7.4.17	0	3-phosphoglyceroyl-phosphate--polyphosphate phosphotransferase.
2.7.4.18	6	farnesyl-diphosphate kinase.
2.7.4.19	0	5-methyldeoxycytidine-5'-phosphate kinase.
2.7.4.20	0	dolichyl-diphosphate--polyphosphate phosphotransferase.
2.7.4.21	9	inositol-hexakisphosphate 5-kinase.
2.7.4.22	554	UMP kinase.
2.7.4.23	40	ribose 1,5-bisphosphate phosphokinase.
2.7.4.24	16	diphosphoinositol-pentakisphosphate 1-kinase.
2.7.4.25	567	(d)CMP kinase.
2.7.4.26	5	isopentenyl phosphate kinase.
2.7.4.27	198	([Pyruvate, phosphate dikinase] phosphate) phosphotransferase.
2.7.4.28	206	([Pyruvate, water dikinase] phosphate) phosphotransferase.
2.7.4.29	1	Kdo2-lipid A phosphotransferase.
2.7.4.31	1	[5-(aminomethyl)furan-3-yl]methyl phosphate kinase.
2.7.4.32	0	farnesyl phosphate kinase.
2.7.4.33	3	AMP-polyphosphate phosphotransferase.
2.7.4.34	1	GDP-polyphosphate phosphotransferase.
2.7.6.1	204	ribose-phosphate diphosphokinase.
2.7.6.2	9	thiamine diphosphokinase.
2.7.6.3	41	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase.
2.7.6.4	0	nucleotide diphosphokinase.
2.7.6.5	45	GTP diphosphokinase.
2.7.7.1	69	nicotinamide-nucleotide adenylyltransferase.
2.7.7.2	94	FAD synthase.
2.7.7.3	681	pantetheine-phosphate adenylyltransferase.
2.7.7.4	458	sulfate adenylyltransferase.
2.7.7.5	4	sulfate adenylyltransferase (ADP).
2.7.7.6	3980	DNA-directed RNA polymerase.
2.7.7.7	1076	DNA-directed DNA polymerase.
2.7.7.8	783	polyribonucleotide nucleotidyltransferase.
2.7.7.9	75	UTP--glucose-1-phosphate uridylyltransferase.
2.7.7.10	0	UTP--hexose-1-phosphate uridylyltransferase.
2.7.7.11	0	UTP--xylose-1-phosphate uridylyltransferase.
2.7.7.12	54	UDP-glucose--hexose-1-phosphate uridylyltransferase.
2.7.7.13	60	mannose-1-phosphate guanylyltransferase.
2.7.7.14	9	ethanolamine-phosphate cytidylyltransferase.
2.7.7.15	15	choline-phosphate cytidylyltransferase.
2.7.7.18	413	nicotinate-nucleotide adenylyltransferase.
2.7.7.19	136	polynucleotide adenylyltransferase.
2.7.7.22	0	mannose-1-phosphate guanylyltransferase (GDP).
2.7.7.23	614	UDP-N-acetylglucosamine diphosphorylase.
2.7.7.24	25	glucose-1-phosphate thymidylyltransferase.
2.7.7.27	319	glucose-1-phosphate adenylyltransferase.
2.7.7.28	0	nucleoside-triphosphate-aldose-1-phosphate nucleotidyltransferase.
2.7.7.30	4	fucose-1-phosphate guanylyltransferase.
2.7.7.31	10	DNA nucleotidylexotransferase.
2.7.7.32	0	galactose-1-phosphate thymidylyltransferase.
2.7.7.33	3	glucose-1-phosphate cytidylyltransferase.
2.7.7.34	0	glucose-1-phosphate guanylyltransferase.
2.7.7.35	0	ADP ribose phosphorylase.
2.7.7.36	0	aldose-1-phosphate adenylyltransferase.
2.7.7.37	0	aldose-1-phosphate nucleotidyltransferase.
2.7.7.38	380	3-deoxy-manno-octulosonate cytidylyltransferase.
2.7.7.39	3	glycerol-3-phosphate cytidylyltransferase.
2.7.7.40	49	D-ribitol-5-phosphate cytidylyltransferase.
2.7.7.41	71	phosphatidate cytidylyltransferase.
2.7.7.42	136	[glutamine synthetase] adenylyltransferase.
2.7.7.43	17	N-acylneuraminate cytidylyltransferase.
2.7.7.44	0	glucuronate-1-phosphate uridylyltransferase.
2.7.7.45	0	guanosine-triphosphate guanylyltransferase.
2.7.7.46	3	gentamicin 2''-nucleotidyltransferase.
2.7.7.47	5	streptomycin 3''-adenylyltransferase.
2.7.7.48	873	RNA-directed RNA polymerase.
2.7.7.49	342	RNA-directed DNA polymerase.
2.7.7.50	135	mRNA guanylyltransferase.
2.7.7.51	5	adenylylsulfate--ammonia adenylyltransferase.
2.7.7.52	22	RNA uridylyltransferase.
2.7.7.53	5	ATP adenylyltransferase.
2.7.7.56	420	tRNA nucleotidyltransferase.
2.7.7.57	0	N-methylphosphoethanolamine cytidylyltransferase.
2.7.7.59	188	[protein-PII] uridylyltransferase.
2.7.7.60	455	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase.
2.7.7.61	36	citrate lyase holo-[acyl-carrier protein] synthase.
2.7.7.62	6	adenosylcobinamide-phosphate guanylyltransferase.
2.7.7.64	6	UTP-monosaccharide-1-phosphate uridylyltransferase.
2.7.7.65	55	diguanylate cyclase.
2.7.7.66	17	malonate decarboxylase holo-[acyl-carrier protein] synthase.
2.7.7.67	54	CDP-2,3-bis-(O-geranylgeranyl)-sn-glycerol synthase.
2.7.7.68	43	2-phospho-L-lactate guanylyltransferase.
2.7.7.69	2	GDP-L-galactose/GDP-D-glucose: hexose 1-phosphate guanylyltransferase.
2.7.7.70	200	D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase.
2.7.7.71	2	D-glycero-alpha-D-manno-heptose 1-phosphate guanylyltransferase.
2.7.7.72	363	CCA tRNA nucleotidyltransferase.
2.7.7.73	3	sulfur carrier protein ThiS adenylyltransferase.
2.7.7.74	5	1L-myo-inositol 1-phosphate cytidylyltransferase.
2.7.7.75	16	molybdopterin adenylyltransferase.
2.7.7.76	1	molybdenum cofactor cytidylyltransferase.
2.7.7.77	211	molybdenum cofactor guanylyltransferase.
2.7.7.78	8	GDP-D-glucose phosphorylase.
2.7.7.79	15	tRNA(His) guanylyltransferase.
2.7.7.80	46	molybdopterin-synthase adenylyltransferase.
2.7.7.81	3	pseudaminic acid cytidylyltransferase.
2.7.7.82	2	CMP-N,N'-diacetyllegionaminic acid synthase.
2.7.7.83	5	UDP-N-acetylgalactosamine diphosphorylase.
2.7.7.84	13	2'-5' oligoadenylate synthase.
2.7.7.85	83	diadenylate cyclase.
2.7.7.86	18	cyclic GMP-AMP synthase.
2.7.7.87	170	L-threonylcarbamoyladenylate synthase.
2.7.7.88	80	GDP polyribonucleotidyltransferase.
2.7.7.89	136	[glutamine synthetase]-adenylyl-L-tyrosine phosphorylase.
2.7.7.90	19	8-amino-3,8-dideoxy-manno-octulosonate cytidylyltransferase.
2.7.7.91	2	valienol-1-phosphate guanylyltransferase.
2.7.7.92	0	3-deoxy-D-glycero-D-galacto-nononate cytidylyltransferase.
2.7.7.93	1	phosphonoformate cytidylyltransferase.
2.7.7.96	4	ADP-D-ribose pyrophosphorylase.
2.7.7.97	2	3-hydroxy-4-methylanthranilate adenylyltransferase.
2.7.7.99	4	N-acetyl-alpha-D-muramate 1-phosphate uridylyltransferase.
2.7.7.100	0	SAMP-activating enzyme.
2.7.7.101	123	DNA primase DnaG.
2.7.7.102	11	DNA primase AEP.
2.7.7.103	1	L-glutamine-phosphate cytidylyltransferase.
2.7.7.104	1	2-hydroxyethylphosphonate cytidylyltransferase.
2.7.7.105	44	phosphoenolpyruvate guanylyltransferase.
2.7.7.106	4	3-phospho-D-glycerate guanylyltransferase.
2.7.7.107	2	(2-aminoethyl)phosphonate cytidylyltransferase.
2.7.7.108	307	protein adenylyltransferase.
2.7.7.109	2	pyridinol guanylyltransferase.
2.7.7.110	2	guanylylpyridinol adelylase.
2.7.7.n6	2	guanine phosphate-protein transferase.
2.7.8.1	13	ethanolaminephosphotransferase.
2.7.8.2	17	diacylglycerol cholinephosphotransferase.
2.7.8.3	0	ceramide cholinephosphotransferase.
2.7.8.4	0	serine-phosphoethanolamine synthase.
2.7.8.5	63	CDP-diacylglycerol--glycerol-3-phosphate 1-phosphatidyltransferase.
2.7.8.6	1	undecaprenyl-phosphate galactose phosphotransferase.
2.7.8.7	596	holo-[acyl-carrier-protein] synthase.
2.7.8.8	17	CDP-diacylglycerol--serine O-phosphatidyltransferase.
2.7.8.9	0	phosphomannan mannosephosphotransferase.
2.7.8.10	0	sphingosine cholinephosphotransferase.
2.7.8.11	9	CDP-diacylglycerol--inositol 3-phosphatidyltransferase.
2.7.8.12	3	teichoic acid poly(glycerol phosphate) polymerase.
2.7.8.13	716	phospho-N-acetylmuramoyl-pentapeptide-transferase.
2.7.8.14	2	CDP-ribitol ribitolphosphotransferase.
2.7.8.15	11	UDP-N-acetylglucosamine--dolichyl-phosphateN-acetylglucosaminephosphotransferase.
2.7.8.17	3	UDP-N-acetylglucosamine--lysosomal-enzymeN-acetylglucosaminephosphotransferase.
2.7.8.18	0	UDP-galactose--UDP-N-acetylglucosamine galactose phosphotransferase.
2.7.8.19	0	UDP-glucose--glycoprotein glucose phosphotransferase.
2.7.8.20	37	phosphatidylglycerol--membrane-oligosaccharide glycerophosphotransferase.
2.7.8.21	0	membrane-oligosaccharide glycerophosphotransferase.
2.7.8.22	6	1-alkenyl-2-acylglycerol choline phosphotransferase.
2.7.8.23	2	carboxyvinyl-carboxyphosphonate phosphorylmutase.
2.7.8.24	10	phosphatidylcholine synthase.
2.7.8.26	247	adenosylcobinamide-GDP ribazoletransferase.
2.7.8.27	17	sphingomyelin synthase.
2.7.8.28	42	2-phospho-L-lactate transferase.
2.7.8.29	16	L-serine-phosphatidylethanolamine phosphatidyltransferase.
2.7.8.31	5	undecaprenyl-phosphate glucose phosphotransferase.
2.7.8.32	4	3-O-alpha-D-mannopyranosyl-alpha-D-mannopyranosexylosylphosphotransferase.
2.7.8.33	11	UDP-N-acetylglucosamine--undecaprenyl-phosphateN-acetylglucosaminephosphotransferase.
2.7.8.34	5	CDP-L-myo-inositol myo-inositolphosphotransferase.
2.7.8.35	4	UDP-N-acetylglucosamine--decaprenyl-phosphateN-acetylglucosaminephosphotransferase.
2.7.8.36	1	undecaprenyl phosphate N,N'-diacetylbacillosamine 1-phosphatetransferase.
2.7.8.37	7	alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase.
2.7.8.38	1	archaetidylserine synthase.
2.7.8.39	4	archaetidylinositol phosphate synthase.
2.7.8.40	2	UDP-N-acetylgalactosamine-undecaprenyl-phosphateN-acetylgalactosaminephosphotransferase.
2.7.8.41	14	cardiolipin synthase (CMP-forming).
2.7.8.42	2	Kdo2-lipid A phosphoethanolamine 7''-transferase.
2.7.8.43	2	lipid A phosphoethanolamine transferase.
2.7.8.44	3	teichoic acid glycerol-phosphate primase.
2.7.8.45	1	teichoic acid glycerol-phosphate transferase.
2.7.8.46	1	teichoic acid ribitol-phosphate primase.
2.7.8.47	1	teichoic acid ribitol-phosphate polymerase.
2.7.8.48	1	ceramide phosphoethanolamine synthase.
2.7.9.1	20	pyruvate, phosphate dikinase.
2.7.9.2	17	pyruvate, water dikinase.
2.7.9.3	103	selenide, water dikinase.
2.7.9.4	4	alpha-glucan, water dikinase.
2.7.9.5	2	phosphoglucan, water dikinase.
2.7.9.6	5	rifampicin phosphotransferase.
2.7.10.1	316	receptor protein-tyrosine kinase.
2.7.10.2	229	non-specific protein-tyrosine kinase.
2.7.10.3	0	bacterial tyrosine kinase.
2.7.10.4	5	[Src-family] C-terminal protein kinase.
2.7.11.1	2678	non-specific serine/threonine protein kinase.
2.7.11.2	20	[pyruvate dehydrogenase (acetyl-transferring)] kinase.
2.7.11.3	0	dephospho-[reductase kinase] kinase.
2.7.11.4	4	[3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] kinase.
2.7.11.5	122	[isocitrate dehydrogenase (NADP(+))] kinase.
2.7.11.6	0	[tyrosine 3-monooxygenase] kinase.
2.7.11.7	4	[myosin heavy-chain] kinase.
2.7.11.8	2	Fas-activated serine/threonine kinase.
2.7.11.9	0	[Goodpasture-antigen-binding protein] kinase.
2.7.11.10	14	IkappaB kinase.
2.7.11.11	29	cAMP-dependent protein kinase.
