ec	n_uniprot_xrefs	description
1.1.1.262	138	4-hydroxythreonine-4-phosphate dehydrogenase.
1.1.1.263	5	1,5-anhydro-D-fructose reductase.
1.1.1.264	1	L-idonate 5-dehydrogenase [NAD(P)(+)].
1.1.1.265	1	3-methylbutanal reductase.
1.1.1.266	1	dTDP-4-dehydro-6-deoxyglucose reductase.
1.1.1.267	447	1-deoxy-D-xylulose-5-phosphate reductoisomerase.
1.1.1.268	1	2-(R)-hydroxypropyl-CoM dehydrogenase.
1.1.1.269	2	2-(S)-hydroxypropyl-CoM dehydrogenase.
1.1.1.270	30	3beta-hydroxysteroid 3-dehydrogenase.
1.1.1.271	14	GDP-L-fucose synthase.
1.1.1.272	3	D-2-hydroxyacid dehydrogenase (NADP(+)).
1.1.1.273	0	vellosimine dehydrogenase.
1.1.1.274	1	2,5-didehydrogluconate reductase (2-dehydro-D-gluconate-forming).
1.1.1.275	0	(+)-trans-carveol dehydrogenase.
1.1.1.276	8	serine 3-dehydrogenase (NADP(+)).
1.1.1.277	0	3beta-hydroxy-5beta-steroid dehydrogenase.
1.1.1.278	0	3beta-hydroxy-5alpha-steroid dehydrogenase.
1.1.1.279	0	(R)-3-hydroxyacid-ester dehydrogenase.
1.1.1.280	0	(S)-3-hydroxyacid-ester dehydrogenase.
1.1.1.281	2	GDP-4-dehydro-6-deoxy-D-mannose reductase.
1.1.1.282	37	quinate/shikimate dehydrogenase [NAD(P)(+)].
1.1.1.283	3	methylglyoxal reductase (NADPH).
1.1.1.284	45	S-(hydroxymethyl)glutathione dehydrogenase.
1.1.1.285	6	3''-deamino-3''-oxonicotianamine reductase.
1.1.1.286	3	isocitrate--homoisocitrate dehydrogenase.
1.1.1.287	1	D-arabinitol dehydrogenase (NADP(+)).
1.1.1.288	1	xanthoxin dehydrogenase.
1.1.1.289	1	sorbose reductase.
1.1.1.290	154	4-phosphoerythronate dehydrogenase.
1.1.1.291	1	2-hydroxymethylglutarate dehydrogenase.
1.1.1.292	2	1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming).
1.1.1.294	4	chlorophyll(ide) b reductase.
1.1.1.295	1	momilactone-A synthase.
1.1.1.296	0	dihydrocarveol dehydrogenase.
1.1.1.297	0	limonene-1,2-diol dehydrogenase.
1.1.1.298	31	3-hydroxypropionate dehydrogenase (NADP(+)).
1.1.1.299	6	malate dehydrogenase [NAD(P)(+)].
1.1.1.300	38	NADP-retinol dehydrogenase.
1.1.1.301	1	D-arabitol-phosphate dehydrogenase.
1.1.1.302	12	2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase.
1.1.1.303	1	diacetyl reductase [(R)-acetoin forming].
1.1.1.304	11	diacetyl reductase [(S)-acetoin forming].
1.1.1.305	75	UDP-glucuronic acid oxidase (UDP-4-keto-hexauronic acid decarboxylating).
1.1.1.306	1	S-(hydroxymethyl)mycothiol dehydrogenase.
1.1.1.307	1	D-xylose reductase [NAD(P)H].
1.1.1.308	2	sulfopropanediol 3-dehydrogenase.
1.1.1.309	1	phosphonoacetaldehyde reductase (NADH).
1.1.1.310	1	(S)-sulfolactate dehydrogenase.
1.1.1.311	1	(S)-1-phenylethanol dehydrogenase.
1.1.1.312	1	2-hydroxy-4-carboxymuconate semialdehyde hemiacetal dehydrogenase.
1.1.1.313	3	sulfoacetaldehyde reductase (NADPH).
1.1.1.315	6	11-cis-retinol dehydrogenase.
1.1.1.316	1	L-galactose 1-dehydrogenase.
1.1.1.317	1	perakine reductase.
1.1.1.318	4	eugenol synthase.
1.1.1.319	2	isoeugenol synthase.
1.1.1.320	5	benzil reductase [(S)-benzoin forming].
1.1.1.321	0	benzil reductase [(R)-benzoin forming].
1.1.1.322	0	(-)-endo-fenchol dehydrogenase.
1.1.1.323	0	(+)-thujan-3-ol dehydrogenase.
1.1.1.324	1	8-hydroxygeraniol dehydrogenase.
1.1.1.325	1	sepiapterin reductase (L-threo-7,8-dihydrobiopterin forming).
1.1.1.326	1	zerumbone synthase.
1.1.1.327	1	5-exo-hydroxycamphor dehydrogenase.
1.1.1.328	1	nicotine blue oxidoreductase.
1.1.1.329	7	2-deoxy-scyllo-inosamine dehydrogenase.
1.1.1.330	52	very-long-chain 3-oxoacyl-CoA reductase.
1.1.1.331	3	secoisolariciresinol dehydrogenase.
1.1.1.332	8	chanoclavine-I dehydrogenase.
1.1.1.333	4	decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase.
1.1.1.334	2	methylecgonone reductase.
1.1.1.335	1	UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase.
1.1.1.336	14	UDP-N-acetyl-D-mannosamine dehydrogenase.
1.1.1.337	1	L-2-hydroxycarboxylate dehydrogenase (NAD(+)).
1.1.1.338	1	(2R)-3-sulfolactate dehydrogenase (NADP(+)).
1.1.1.339	1	dTDP-6-deoxy-L-talose 4-dehydrogenase (NAD(+)).
1.1.1.340	3	1-deoxy-11beta-hydroxypentalenate dehydrogenase.
1.1.1.341	3	CDP-abequose synthase.
1.1.1.342	1	CDP-paratose synthase.
1.1.1.343	3	phosphogluconate dehydrogenase (NAD(+)-dependent, decarboxylating).
1.1.1.344	1	dTDP-6-deoxy-L-talose 4-dehydrogenase [NAD(P)(+)].
1.1.1.345	3	D-2-hydroxyacid dehydrogenase (NAD(+)).
1.1.1.346	3	2,5-didehydrogluconate reductase (2-dehydro-L-gulonate-forming).
1.1.1.347	3	geraniol dehydrogenase (NAD(+)).
1.1.1.348	1	(3R)-2'-hydroxyisoflavanone reductase.
1.1.1.349	3	norsolorinic acid ketoreductase.
1.1.1.350	2	ureidoglycolate dehydrogenase (NAD(+)).
1.1.1.351	0	phosphogluconate dehydrogenase [NAD(P)(+)-dependent, decarboxylating].
1.1.1.352	3	5'-hydroxyaverantin dehydrogenase.
1.1.1.353	1	versiconal hemiacetal acetate reductase.
1.1.1.354	1	farnesol dehydrogenase (NAD(+)).
1.1.1.355	1	2'-dehydrokanamycin reductase.
1.1.1.356	1	GDP-L-colitose synthase.
1.1.1.357	12	3alpha-hydroxysteroid 3-dehydrogenase.
1.1.1.358	2	2-dehydropantolactone reductase.
1.1.1.359	1	aldose 1-dehydrogenase [NAD(P)(+)].
1.1.1.360	1	glucose/galactose 1-dehydrogenase.
1.1.1.361	1	glucose-6-phosphate 3-dehydrogenase.
1.1.1.362	1	aklaviketone reductase.
1.1.1.363	5	glucose-6-phosphate dehydrogenase [NAD(P)(+)].
1.1.1.364	2	dTDP-4-dehydro-6-deoxy-alpha-D-gulose 4-ketoreductase.
1.1.1.365	2	D-galacturonate reductase.
1.1.1.366	1	L-idonate 5-dehydrogenase (NAD(+)).
1.1.1.367	1	UDP-2-acetamido-2,6-beta-L-arabino-hexul-4-ose reductase.
1.1.1.368	1	6-hydroxycyclohex-1-ene-1-carbonyl-CoA dehydrogenase.
1.1.1.369	7	D-chiro-inositol 1-dehydrogenase.
1.1.1.370	1	scyllo-inositol 2-dehydrogenase (NAD(+)).
1.1.1.371	2	scyllo-inositol 2-dehydrogenase (NADP(+)).
1.1.1.372	15	D/L-glyceraldehyde reductase.
1.1.1.373	3	sulfolactaldehyde 3-reductase.
1.1.1.374	2	UDP-N-acetylglucosamine 3-dehydrogenase.
1.1.1.375	1	L-2-hydroxycarboxylate dehydrogenase [NAD(P)(+)].
1.1.1.376	2	L-arabinose 1-dehydrogenase [NAD(P)(+)].
1.1.1.377	1	L-rhamnose 1-dehydrogenase (NADP(+)).
1.1.1.378	2	L-rhamnose 1-dehydrogenase [NAD(P)(+)].
1.1.1.379	1	(R)-mandelate dehydrogenase.
1.1.1.380	0	L-gulonate 5-dehydrogenase.
1.1.1.381	8	3-hydroxy acid dehydrogenase.
1.1.1.382	3	ketol-acid reductoisomerase (NAD(+)).
1.1.1.383	5	ketol-acid reductoisomerase [NAD(P)(+)].
1.1.1.384	4	dTDP-3,4-didehydro-2,6-dideoxy-alpha-D-glucose 3-reductase.
1.1.1.385	3	dihydroanticapsin 7-dehydrogenase.
1.1.1.386	1	ipsdienol dehydrogenase.
1.1.1.387	2	L-serine 3-dehydrogenase (NAD(+)).
1.1.1.388	1	glucose-6-phosphate dehydrogenase (NAD(+)).
1.1.1.389	1	2-dehydro-3-deoxy-L-galactonate 5-dehydrogenase.
1.1.1.390	1	sulfoquinovose 1-dehydrogenase.
1.1.1.391	2	3beta-hydroxycholanate 3-dehydrogenase (NAD(+)).
1.1.1.392	1	3alpha-hydroxycholanate dehydrogenase (NADP(+)).
1.1.1.393	1	3beta-hydroxycholanate 3-dehydrogenase (NADP(+)).
1.1.1.394	1	aurachin B dehydrogenase.
1.1.1.395	2	3alpha-hydroxybile acid CoA 3-dehydrogenase.
1.1.1.396	0	bacteriochlorophyllide-a dehydrogenase.
1.1.1.397	1	beta-methylindole-3-pyruvate reductase.
1.1.1.398	1	2-glutathionyl-2-methylbut-3-en-1-ol dehydrogenase.
1.1.1.399	22	2-oxoglutarate reductase.
1.1.1.400	1	2-methyl-1,2-propanediol dehydrogenase.
1.1.1.401	2	2-dehydro-3-deoxy-L-rhamnonate dehydrogenase (NAD(+)).
1.1.1.402	1	D-erythritol 1-phosphate dehydrogenase.
1.1.1.403	1	D-threitol dehydrogenase (NAD(+)).
1.1.1.404	1	tetrachlorobenzoquinone reductase.
1.1.1.405	6	ribitol-5-phosphate 2-dehydrogenase (NADP(+)).
1.1.1.406	1	galactitol 2-dehydrogenase (L-tagatose-forming).
1.1.1.407	1	D-altritol 5-dehydrogenase.
1.1.1.408	19	4-phospho-D-threonate 3-dehydrogenase.
1.1.1.409	1	4-phospho-D-erythronate 3-dehydrogenase.
1.1.1.410	2	D-erythronate 2-dehydrogenase.
1.1.1.411	5	L-threonate 2-dehydrogenase.
1.1.1.412	3	2-alkyl-3-oxoalkanoate reductase.
1.1.1.413	1	A-factor type gamma-butyrolactone 1'-reductase (1S-forming).
1.1.1.414	1	L-galactonate 5-dehydrogenase.
1.1.1.415	1	noscapine synthase.
1.1.1.416	0	isopyridoxal dehydrogenase (5-pyridoxolactone-forming).
1.1.1.417	1	3beta-hydroxysteroid-4beta-carboxylate 3-dehydrogenase (decarboxylating).
1.1.1.418	2	plant 3beta-hydroxysteroid-4alpha-carboxylate 3-dehydrogenase(decarboxylating).
1.1.1.419	1	nepetalactol dehydrogenase.
1.1.1.420	2	D-apiose dehydrogenase.
1.1.1.421	4	D-apionate oxidoisomerase.
1.1.1.422	0	pseudoephedrine dehydrogenase.
1.1.1.423	0	(1R,2S)-ephedrine 1-dehydrogenase.
1.1.1.424	2	D-xylose 1-dehydrogenase (NADP(+), D-xylono-1,4-lactone-forming).
1.1.1.425	1	levoglucosan dehydrogenase.
1.1.1.426	0	UDP-N-acetyl-alpha-D-quinovosamine dehydrogenase.
1.1.1.427	1	D-arabinose 1-dehydrogenase (NADP(+)).
1.1.1.428	0	4-methylthio 2-oxobutanoate reductase (NADH).
1.1.1.429	1	(2S)-[(R)-hydroxy(phenyl)methyl]succinyl-CoA dehydrogenase.
1.1.1.430	23	D-xylose reductase (NADH).
1.1.1.431	23	D-xylose reductase (NADPH).
1.1.1.432	2	6-dehydroglucose reductase.
1.1.1.433	2	sulfoacetaldehyde reductase (NADH).
1.1.1.434	0	2-dehydro-3-deoxy-L-fuconate 4-dehydrogenase.
1.1.1.435	1	L-fucose dehydrogenase.
1.1.1.436	3	lactate dehydrogenase (NAD(+),ferredoxin).
1.1.1.437	1	5-dehydrofumagillol 5-reductase.
1.1.1.438	1	cis-4-hydroxycyclohexanecarboxylate dehydrogenase.
1.1.1.439	1	17-dehydrostemmadenine reductase.
1.1.1.440	2	rhazimal reductase.
1.1.1.441	3	polyprenol dehydrogenase [NAD(P)H].
1.1.1.442	0	20beta-hydroxysteroid dehydrogenase.
1.1.1.443	2	questin reductase.
1.1.1.444	0	sulfofucose 1-dehydrogenase.
1.1.1.n4	1	(-)-trans-carveol dehydrogenase.
1.1.1.n5	1	3-methylmalate dehydrogenase.
1.1.1.n11	5	succinic semialdehyde reductase.
1.1.1.n12	12	(3R)-hydroxyacyl-CoA dehydrogenase.
1.1.2.2	0	mannitol dehydrogenase (cytochrome).
